Scheme,F1
Pudhumai Penn,1.0
Kalaignar Magalir Urimai Thittam,1.0
Tamil Pudhalvan Scheme,1.0
CM Breakfast Scheme,1.0
Old Age Pension,1.0
Widow Pension,1.0
Disability Pension,0.989
CM Comprehensive Health Insurance,0.997
PM-KISAN,1.0
PM Awas Yojana PMAY,0.997
PM Ujjwala Yojana,1.0
Ayushman Bharat PM-JAY,0.999
PM Matru Vandana Yojana,1.0
National Family Benefit Scheme,0.988
SC Scholarship,1.0
ST Scholarship,1.0
Agricultural Input Subsidy,1.0
Dr. Muthulakshmi Reddy Maternity Benefit,1.0
CM Girl Child Protection Scheme,0.963
Naan Mudhalvan,1.0
